9.207,302.970,0
10.975,302.465,0
9.899,301.805,0
6.932,302.058,0
5.641,302.047,0
6.334,304.431,0
4.746,309.221,0
4.059,313.544,0
5.295,317.565,0
6.037,321.564,0
5.911,325.245,0
4.609,328.129,0
2.807,328.079,0
2.906,327.327,0
5.581,322.756,0
9.899,312.940,0
12.546,306.079,0
14.227,298.828,0
14.480,292.681,0
13.771,288.754,0
13.535,285.760,0
14.211,286.046,0
13.585,291.253,0
12.997,301.718,0
11.085,310.380,0
9.465,314.522,0
5.087,319.801,0
1.917,322.542,0
0.989,322.872,0
1.214,316.978,0
3.027,305.173,0
4.955,293.939,0
4.021,286.210,0
1.884,279.404,0
0.363,274.883,0
1.511,274.202,0
3.170,275.521,0
4.427,279.728,0
6.564,287.188,0
7.899,294.697,0
8.344,300.778,0
9.272,304.552,0
10.536,304.893,0
10.964,305.442,0
11.629,307.260,0
12.272,308.842,0
13.315,310.106,0
14.062,310.078,0
14.738,309.496,0
15.425,309.337,-0.001
14.469,309.567,-0.001
14.030,310.182,-0.001
13.288,310.062,-0.001
12.085,309.078,-0.001
10.887,306.799,-0.002
9.849,301.333,-0.002
8.448,293.950,-0.002
7.207,289.902,-0.004
7.586,288.539,-0.006
8.388,292.830,-0.006
8.004,303.772,-0.006
6.191,313.885,-0.006
2.280,324.097,-0.007
-0.533,325.366,-0.007
-1.912,321.938,-0.007
3.543,310.880,-0.007
7.438,300.234,-0.009
9.904,292.456,-0.009
10.558,283.997,-0.009
9.976,276.740,-0.009
9.437,274.856,-0.01
9.899,278.476,-0.01
10.311,284.568,-0.01
9.113,291.654,-0.01
7.191,297.977,-0.01
6.432,302.025,-0.01
6.224,303.492,-0.01
5.581,304.876,-0.01
4.581,306.211,-0.011
4.098,307.557,-0.011
3.505,309.496,-0.012
1.884,312.748,-0.016
0.797,314.594,-0.018
3.054,310.814,-0.02
5.916,303.981,-0.022
7.273,296.812,-0.026
6.537,292.363,-0.028
5.630,291.149,-0.031
5.565,290.978,-0.035
5.916,292.083,-0.037
5.790,295.543,-0.035
6.196,301.069,-0.035
5.702,308.793,-0.035
3.153,317.895,-0.035
0.676,322.690,-0.035
0,325.410,-0.034
-1.038,327.914,-0.024
0.566,323.520,-0.015
3.988,312.209,0
6.982,306.112,0.018
8.174,301.805,0.038
9.272,298.394,0.05
10.404,295.307,0.056
10.124,291.830,0.056
9.888,288.506,0.056
10.596,289.819,0.056
11.113,296.395,0.056
8.580,306.810,0.056
5.301,316.077,0.057
3.087,321.350,0.057
3.235,324.465,0.059
7.712,322.701,0.059
13.738,319.169,0.059
19.166,316.967,0.066
22.434,315.934,0.067
25.488,317.120,0.07
28.641,318.554,0.077
32.706,319.927,0.087
38.188,320.988,0.099
43.215,321.092,0.105
44.758,319.691,0.106
44.193,319.427,0.111
43.484,317.939,0.117
43.478,316.945,0.127
44.225,316.796,0.128
45.978,317.164,0.128
47.422,317.637,0.128
48.658,319.016,0.128
49.570,320.295,0.128
49.686,320.262,0.128
50.098,320.076,0.128
50.411,320.043,0.128
51.059,320.169,0.128
51.773,319.482,0.13
52.696,319.043,0.137
53.212,319.356,0.144
53.311,319.845,0.148
53.361,319.559,0.152
53.547,319.966,0.154
53.311,321.465,0.158
53.619,322.015,0.16
53.690,321.724,0.164
53.564,320.707,0.166
53.509,320.224,0.169
53.130,319.982,0.169
53.009,320.669,0.171
53.580,321.696,0.175
54.218,322.070,0.177
54.767,321.625,0.177
54.838,321.998,0.177
54.619,321.855,0.177
54.888,320.696,0.177
55.179,321.691,0.177
55.228,322.465,0.177
54.926,323.009,0.177
54.459,324.108,0.177
54.706,323.465,0.177
